CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
LACE1_66218	LACE1	895	861	678	669
AGO3_64343	AGO3	756	704	944	820
B3GNT9_54150	B3GNT9	1049	1282	1114	1302
SLC38A1_51636	SLC38A1	429	449	505	476
C20orf85_59574	C20orf85	889	1089	817	862
SPTSSB_63852	SPTSSB	384	450	296	477
CCDC170_50749	CCDC170	511	614	525	480
C1orf194_59267	C1orf194	510	462	550	732
SLC34A1_17660	SLC34A1	622	761	761	809
TOB1_27139	TOB1	591	664	494	583
PTP4A1_20934	PTP4A1	361	472	412	482
PTGES3_29002	PTGES3	1031	712	857	1283
SUDS3_47778	SUDS3	181	264	526	367
SPATA31D4_71467	SPATA31D4	1769	1920	1550	1685
ITGA8_22167	ITGA8	1423	1513	1446	1232
WISP1_23163	WISP1	1118	1366	1122	1331
ANKRD44_55875	ANKRD44	407	577	721	746
FAT2_6099	FAT2	1095	1467	1233	1819
FBXO25_34869	FBXO25	655	624	451	475
CD226_28856	CD226	993	1089	881	859
SLC12A2_17618	SLC12A2	525	592	596	441
TSEN54_67572	TSEN54	279	340	845	975
STAMBPL1_45842	STAMBPL1	393	408	447	396
MRPL15_36434	MRPL15	369	496	773	1213
RPL35_30520	RPL35	28	34	436	533
OR5H6_49148	OR5H6	333	409	203	278
UFL1_32621	UFL1	306	278	129	146
AHCTF1_34058	AHCTF1	211	318	323	238
CRADD_22844	CRADD	461	591	290	447
OTOR_44562	OTOR	1595	1559	1132	1518
ODF4_61684	ODF4	297	310	445	356
RNF139_30558	RNF139	755	817	1032	1036
TMEM117_53125	TMEM117	62	40	746	682
NLGN4X_45654	NLGN4X	534	657	552	655
ATP6AP1_1488	ATP6AP1	116	169	654	756
E2F7_61344	E2F7	2076	3704	1681	2014
COLEC12_51502	COLEC12	1483	1362	1208	1540
ICE1_32629	ICE1	591	417	590	893
SASH1_32473	SASH1	893	728	776	850
PARK7_30733	PARK7	964	1127	1412	1702
C11orf30_44669	C11orf30	396	543	402	447
SENP8_58604	SENP8	975	1566	1039	1217
PPP6R3_42225	PPP6R3	413	696	450	678
EPM2A_21120	EPM2A	389	284	305	411
ZNF627_64555	ZNF627	1295	1459	907	1170
ERMN_45552	ERMN	360	374	187	437
REG3A_13304	REG3A	1393	1407	1067	1166
FAIM3_24208	FAIM3	308	586	346	516
NRSN1_60971	NRSN1	1402	1385	1102	1439
CT47A8_74544	CT47A8	1691	1806	1499	1404
SHISA6_70995	SHISA6	366	328	561	531
FGL2_29394	FGL2	574	579	574	625
RPE_16292	RPE	281	247	374	355
OR2D2_58282	OR2D2	797	873	1055	1020
DDX41_38738	DDX41	547	662	1116	1103
TDRD1_44094	TDRD1	559	518	491	444
SEMA4D_28319	SEMA4D	802	616	568	470
CLIP3_34302	CLIP3	890	828	906	1020
ERBB2_5730	ERBB2	763	843	503	523
SLIT3_17724	SLIT3	947	1085	980	1157
HDAC7_39045	HDAC7	352	614	552	565
VNN3_42422	VNN3	709	742	618	640
INTS6_35098	INTS6	125	60	561	391
